Powiat,Siedziba władz powiatu,Samochodowe tablice rejestracyjne,Województwo,Powierzchnia [km2],Liczba ludności [osoby],Gęstość zaludnienia [osoby/km2],Przyrost rzeczywisty,id
powiat leszczyński,Leszno,PLE. MLE[c],wielkopolskie,805.81,57 544,71.41,13.12,path486
Leszno,miasto na prawach powiatu,PL. ML[c],wielkopolskie,31.86,63 323,1 987.54,-7.07,path496
powiat leżajski,Leżajsk,RLE. YLE[c],podkarpackie,583.71,69 233,118.61,-3.54,path270
powiat lęborski,Lębork,GLE. XLE[c],pomorskie,707.77,66 069,93.35,-1.92,path434
powiat lidzbarski,Lidzbark Warmiński,NLI,warmińsko-mazurskie,925.00,41 039,44.37,-6.58,path408
powiat limanowski,Limanowa,KLI. JLI[c],małopolskie,951.23,131 997,138.76,2.03,path54
powiat lipnowski,Lipno,CLI,kujawsko-pomorskie,1 015.74,65 574,64.56,-4.48,path526
powiat lipski,Lipsko,WLI. ALI[c],mazowieckie,740.22,33 738,45.58,-8.52,path608
powiat lubaczowski,Lubaczów,RLU. YLU[c],podkarpackie,1 308.37,54 979,42.02,-8.28,path276
powiat lubański,Lubań,DLB. VLB[c],dolnośląskie,428.30,54 070,126.24,-7.76,path154
powiat lubartowski,Lubartów,LLB,lubelskie,1 288.74,88 152,68.40,-4.96,path314
powiat lubelski,Lublin,LUB,lubelskie,1 679.53,156 002,92.88,8.03,path296
powiat lubiński,Lubin,DLU. VLU[c],dolnośląskie,711.62,106 106,149.1,-0.99,path176
Lublin,miasto na prawach powiatu,LU,lubelskie,147.47,339 547,2 302.48,-0.66,path298
powiat lubliniecki,Lubliniec,SLU. ILU[c],śląskie,822.25,76 326,92.83,-1.88,path718
powiat lwówecki,Lwówek Śląski,DLW. VLW[c],dolnośląskie,709.69,45 770,64.49,-4.46,path156
powiat łańcucki,Łańcut,RLA. YLA[c],podkarpackie,451.84,81 144,179.59,3.04,path268
powiat łaski,Łask,ELA,łódzkie,618.23,49 794,80.54,-4.86,path626
powiat łęczycki,Łęczyca,ELE,łódzkie,772.75,49 562,64.14,-7.63,path620
powiat łęczyński,Łęczna,LLE,lubelskie,636.64,57 298,90.00,-1.29,path300
powiat łobeski,Łobez,ZLO,zachodniopomorskie,1 065.13,36 514,34.28,-11.91,path102
Łomża,miasto na prawach powiatu,BL,podlaskie,32.67,62 795,1 922.10,-2.7,path783
powiat łomżyński,Łomża,BLM,podlaskie,1 354.59,50 894,37.57,-0.39,path382
powiat łosicki,Łosice,WLS. ALS[c],mazowieckie,772.45,30 658,39.69,-7.67,path320
powiat łowicki,Łowicz,ELC,łódzkie,988.17,77 842,78.77,-5.86,path638
powiat łódzki wschodni,Łódź,ELW,łódzkie,499.76,72 408,144.89,6.97,path632
Łódź,miasto na prawach powiatu,EL. ED[f],łódzkie,293.25,677 286,2 309.59,-7.9,path630
powiat łukowski,Łuków,LLU,lubelskie,1 394.21,106 591,76.45,-5.16,path316
powiat makowski,Maków Mazowiecki,WMA. AMA[c],mazowieckie,1 064.63,44 667,41.96,-9.07,path346
powiat malborski,Malbork,GMB. XMB,pomorskie,494.23,63 401,128.28,-2.74,path452
powiat miechowski,Miechów,KMI. JMI[c],małopolskie,676.29,48 689,71.99,-5.29,path38
powiat mielecki,Mielec,RMI. YMI[c],podkarpackie,880.50,136 672,155.22,0.59,path668
powiat międzychodzki,Międzychód,PMI. MMI[c],wielkopolskie,736.44,36 686,49.82,-5.34,path484
powiat międzyrzecki,Międzyrzecz,FMI,lubuskie,1 387.61,57 374,41.35,-8.25,path134
powiat mikołowski,Mikołów,SMI. IMI[c],śląskie,233.10,99 211,425.62,5.29,path206
powiat milicki,Milicz,DMI. VMI[c],dolnośląskie,714.93,36 913,51.63,-2.43,path32
powiat miński,Mińsk Mazowiecki,WM[g]. AM[c],mazowieckie,1 163.72,154 942,133.14,5.76,path328
powiat mławski,Mława,WML. AML[c],mazowieckie,1 181.82,72 448,61.3,-6.28,path350
powiat mogileński,Mogilno,CMG,kujawsko-pomorskie,675.12,45 514,67.42,-5.29,path564
powiat moniecki,Mońki,BMN,podlaskie,1 381.79,40 251,29.13,-6.59,path366
powiat mrągowski,Mrągowo,NMR,warmińsko-mazurskie,1 065.38,49 660,46.61,-6.2,path396
Mysłowice,miasto na prawach powiatu,SM. IM[c],śląskie,65.62,74 601,1 136.86,1.15,path234
powiat myszkowski,Myszków,SMY. IMY[c],śląskie,479.25,70 709,147.54,-3.52,path720
powiat myślenicki,Myślenice,KMY. JMY[c],małopolskie,673.08,127 872,189.98,4.79,path52
powiat myśliborski,Myślibórz,ZMY,zachodniopomorskie,1 182.40,65 426,55.33,-8.68,path120
powiat nakielski,Nakło nad Notecią,CNA,kujawsko-pomorskie,1 120.08,86 226,76.98,-2.58,path562
powiat namysłowski,Namysłów,ONA,opolskie,748.18,42 680,57.05,-0.28,path4
powiat nidzicki,Nidzica,NNI,warmińsko-mazurskie,960.64,32 753,34.09,-5.68,path418
powiat niżański,Nisko,RNI. YNI[c],podkarpackie,785.64,66 430,84.56,-4.03,path652
powiat nowodworski,Nowy Dwór Gdański,GND. XND[c],pomorskie,674.08,35 483,52.64,-4.85,path428
powiat nowodworski,Nowy Dwór Mazowiecki,WND. AND[c],mazowieckie,694.79,79 427,114.32,2.16,path578
powiat nowomiejski,Nowe Miasto Lubawskie,NNM,warmińsko-mazurskie,693.93,43 769,63.07,-2.98,path420
powiat nowosądecki,Nowy Sącz,KNS. JNS[c],małopolskie,1549.80,216 994,140.01,2.61,path70
powiat nowosolski,Nowa Sól,FNW,lubuskie,770.73,86 014,111.60,-4.28,path148
powiat nowotarski,Nowy Targ,KNT. JNT[c],małopolskie,1 474.99,191 882,130.09,1.11,path66
powiat nowotomyski,Nowy Tomyśl,PNT. MNT[c],wielkopolskie,1 013.62,75 675,74.66,2.89,path502
Nowy Sącz,miasto na prawach powiatu,KN. JN[c],małopolskie,57.58,83 762,1 454.71,-0.61,path72
powiat nyski,Nysa,ONY,opolskie,1 223.88,135 524,110.73,-6.37,path18
powiat obornicki,Oborniki,POB. MOB[c],wielkopolskie,711.04,59 826,84.14,0.12,path522
powiat olecki,Olecko,NOE,warmińsko-mazurskie,873.60,34 050,38.98,-6.74,path388
powiat oleski,Olesno,OOL,opolskie,973.38,64 167,65.92,-3.79,path8
powiat oleśnicki,Oleśnica,DOL. VOL[c],dolnośląskie,1 049.31,107 328,102.28,2.22,path30
powiat olkuski,Olkusz,KOL. JOL[c],małopolskie,618.11,110 900,179.42,-6.76,path40
Olsztyn,miasto na prawach powiatu,NO,warmińsko-mazurskie,88.33,171 853,1 945.58,-1.98,path406
powiat olsztyński,Olsztyn,NOL,warmińsko-mazurskie,2 838.02,127 205,44.82,6.89,path404
powiat oławski,Oława,DOA. VOA[c],dolnośląskie,524.10,76 831,146.60,1.41,path28
powiat opatowski,Opatów,TOP,świętokrzyskie,910.90,51 834,56.90,-9.59,path690
powiat opoczyński,Opoczno,EOP,łódzkie,1 040.19,75 847,72.92,-6.25,path642
Opole,miasto na prawach powiatu,OP,opolskie,148.88,128 012,859.83,-1.53,path16
powiat opolski,Opole Lubelskie,LOP,lubelskie,810.02,58 952,72.78,-9.39,path646
powiat opolski,Opole,OPO,opolskie,1 534.30,123 813,80.70,2.64,path14
powiat ostrołęcki,Ostrołęka,WOS. AOS[c],mazowieckie,2 093.55,88 624,42.33,-1.05,path332
Ostrołęka,miasto na prawach powiatu,WO. AO,mazowieckie,33.46,51 893,1 550.9,-3.42,path334
powiat ostrowiecki,Ostrowiec Świętokrzyski,TOS,świętokrzyskie,616.78,108 436,175.81,-9.83,path688
powiat ostrowski,Ostrów Wielkopolski,POS. MOS[c],wielkopolskie,1 160.12,161 581,139.28,0.34,path748
powiat ostrowski,Ostrów Mazowiecka,WOR. AOR[c],mazowieckie,1 217.79,72 091,59.20,-6.44,path336
powiat ostródzki,Ostróda,NOS. NOT[d]. NOX[d],warmińsko-mazurskie,1 766.29,103 895,58.82,-6.04,path416
powiat ostrzeszowski,Ostrzeszów,POT. MOT[c],wielkopolskie,772.63,55 436,71.75,0.58,path746
powiat oświęcimski,Oświęcim,KOS. JOS[c],małopolskie,405.58,153 125,377.55,-3.30,path60
